machine_code,time,sim_elapsed_s,profile,scenario,phase,vibration_mm_s,motor_power,temperature,humidity,current,charge,state,source
ARO-01,2026-05-28T22:35:15.224Z,0,A_linear,healthy,ascent,0.946,0.563,24.4,61.5,1.016,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:16.231Z,1,A_linear,healthy,ascent,0.934,0.556,24.2,63.0,1.003,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:17.231Z,2,A_linear,healthy,ascent,0.947,0.562,24.0,64.2,1.014,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:18.232Z,3,A_linear,healthy,ascent,0.984,0.552,23.9,65.2,0.995,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:19.232Z,4,A_linear,healthy,ascent,0.955,0.556,23.7,66.2,1.003,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:20.233Z,5,A_linear,healthy,ascent,0.977,0.555,23.4,67.3,1.002,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:21.233Z,6,A_linear,healthy,ascent,0.965,0.557,23.5,68.0,1.004,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:22.234Z,7,A_linear,healthy,ascent,0.966,0.550,23.5,68.8,0.992,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:23.234Z,8,A_linear,healthy,ascent,0.972,0.566,23.4,69.6,1.021,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:24.235Z,9,A_linear,healthy,ascent,0.987,0.567,23.4,70.5,1.022,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:25.236Z,10,A_linear,healthy,ascent,0.971,0.568,23.3,71.2,1.024,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:26.237Z,11,A_linear,healthy,ascent,0.975,0.556,23.3,72.2,1.003,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:35:27.237Z,12,A_linear,healthy,descent,0.964,0.348,23.1,72.8,0.629,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:28.237Z,13,A_linear,healthy,descent,0.979,0.347,23.0,73.4,0.626,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:29.240Z,14,A_linear,healthy,descent,0.958,0.351,22.9,73.9,0.632,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:30.241Z,15,A_linear,healthy,descent,0.939,0.349,22.9,74.2,0.629,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:31.241Z,16,A_linear,healthy,descent,0.945,0.353,22.9,74.6,0.636,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:32.242Z,17,A_linear,healthy,descent,0.921,0.350,22.8,75.1,0.631,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:33.243Z,18,A_linear,healthy,descent,0.918,0.348,22.7,75.4,0.629,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:34.243Z,19,A_linear,healthy,descent,0.926,0.343,22.6,76.0,0.619,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:35.244Z,20,A_linear,healthy,descent,0.900,0.354,22.5,75.9,0.638,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:36.245Z,21,A_linear,healthy,descent,0.882,0.353,22.5,76.5,0.636,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:37.246Z,22,A_linear,healthy,descent,0.898,0.356,22.3,76.7,0.642,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:38.246Z,23,A_linear,healthy,descent,0.903,0.352,22.3,76.6,0.635,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:35:39.247Z,24,A_linear,healthy,pause,0.871,0.008,22.2,76.6,0.015,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:40.248Z,25,A_linear,healthy,pause,0.852,0.010,22.2,77.2,0.018,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:41.248Z,26,A_linear,healthy,pause,0.872,0.003,22.1,77.7,0.006,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:42.249Z,27,A_linear,healthy,pause,0.857,0.000,22.1,77.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:43.250Z,28,A_linear,healthy,pause,0.856,0.005,21.9,78.0,0.009,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:44.250Z,29,A_linear,healthy,pause,0.855,0.000,21.9,78.1,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:45.251Z,30,A_linear,healthy,pause,0.835,0.000,21.8,78.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:46.252Z,31,A_linear,healthy,pause,0.854,0.006,21.8,78.3,0.011,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:47.252Z,32,A_linear,healthy,pause,0.871,0.006,21.8,78.0,0.010,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:48.256Z,33,A_linear,healthy,pause,0.850,0.000,21.7,77.9,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:49.256Z,34,A_linear,healthy,pause,0.876,0.003,21.7,78.1,0.005,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:50.256Z,35,A_linear,healthy,pause,0.893,0.000,21.7,78.2,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:51.257Z,36,A_linear,healthy,pause,0.871,0.011,21.8,78.7,0.021,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:52.257Z,37,A_linear,healthy,pause,0.883,0.000,21.8,78.7,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:53.258Z,38,A_linear,healthy,pause,0.887,0.000,21.7,78.8,0.001,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:54.258Z,39,A_linear,healthy,pause,0.923,0.000,21.7,78.9,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:55.259Z,40,A_linear,healthy,pause,0.923,0.001,21.6,79.1,0.001,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:56.260Z,41,A_linear,healthy,pause,0.924,0.000,21.6,78.9,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:57.261Z,42,A_linear,healthy,pause,0.922,0.000,21.4,78.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:58.261Z,43,A_linear,healthy,pause,0.948,0.003,21.5,78.8,0.006,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:35:59.262Z,44,A_linear,healthy,ascent,0.937,0.557,21.4,78.8,1.004,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:00.262Z,45,A_linear,healthy,ascent,0.939,0.569,21.5,78.9,1.027,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:01.263Z,46,A_linear,healthy,ascent,0.976,0.560,21.6,79.1,1.010,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:02.264Z,47,A_linear,healthy,ascent,0.974,0.558,21.6,79.0,1.008,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:03.264Z,48,A_linear,healthy,ascent,0.977,0.566,21.7,79.0,1.020,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:04.265Z,49,A_linear,healthy,ascent,0.997,0.552,21.7,78.9,0.997,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:05.266Z,50,A_linear,healthy,ascent,0.962,0.566,21.8,79.0,1.021,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:06.267Z,51,A_linear,healthy,ascent,0.986,0.560,21.9,79.1,1.011,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:07.267Z,52,A_linear,healthy,ascent,0.960,0.556,22.0,79.2,1.002,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:08.268Z,53,A_linear,healthy,ascent,0.970,0.564,22.0,79.3,1.018,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:09.269Z,54,A_linear,healthy,ascent,0.969,0.559,22.2,79.1,1.009,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:10.269Z,55,A_linear,healthy,ascent,0.975,0.558,22.2,79.2,1.007,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:11.270Z,56,A_linear,healthy,descent,0.974,0.351,22.2,79.6,0.634,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:12.271Z,57,A_linear,healthy,descent,0.947,0.346,22.2,79.6,0.624,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:13.271Z,58,A_linear,healthy,descent,0.935,0.356,22.1,79.6,0.642,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:14.272Z,59,A_linear,healthy,descent,0.954,0.344,22.1,79.4,0.621,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:15.273Z,60,A_linear,healthy,descent,0.941,0.348,22.1,79.4,0.628,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:16.274Z,61,A_linear,healthy,descent,0.930,0.355,22.0,79.4,0.640,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:17.276Z,62,A_linear,healthy,descent,0.935,0.347,22.1,79.6,0.626,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:18.277Z,63,A_linear,healthy,descent,0.908,0.341,22.1,79.9,0.616,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:19.277Z,64,A_linear,healthy,descent,0.904,0.351,21.9,79.9,0.633,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:20.278Z,65,A_linear,healthy,descent,0.882,0.352,22.0,79.6,0.636,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:21.278Z,66,A_linear,healthy,descent,0.886,0.345,22.0,79.2,0.623,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:22.279Z,67,A_linear,healthy,descent,0.861,0.360,21.9,79.3,0.649,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:23.279Z,68,A_linear,healthy,pause,0.868,0.000,21.9,79.2,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:24.280Z,69,A_linear,healthy,pause,0.857,0.000,21.9,79.3,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:25.280Z,70,A_linear,healthy,pause,0.871,0.005,21.8,79.5,0.008,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:26.281Z,71,A_linear,healthy,pause,0.858,0.000,21.9,79.6,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:27.282Z,72,A_linear,healthy,pause,0.871,0.003,22.0,80.0,0.005,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:28.283Z,73,A_linear,healthy,pause,0.836,0.006,22.0,80.0,0.012,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:29.284Z,74,A_linear,healthy,pause,0.846,0.001,22.0,80.0,0.001,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:30.285Z,75,A_linear,healthy,pause,0.863,0.000,21.9,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:31.285Z,76,A_linear,healthy,pause,0.871,0.014,21.9,80.0,0.025,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:32.286Z,77,A_linear,healthy,pause,0.844,0.000,21.9,79.9,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:33.287Z,78,A_linear,healthy,pause,0.865,0.000,21.8,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:34.287Z,79,A_linear,healthy,pause,0.885,0.000,21.9,79.7,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:35.288Z,80,A_linear,healthy,pause,0.879,0.000,21.9,79.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:36.289Z,81,A_linear,healthy,pause,0.895,0.002,21.9,80.0,0.004,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:37.289Z,82,A_linear,healthy,pause,0.887,0.001,21.8,80.0,0.003,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:38.289Z,83,A_linear,healthy,pause,0.915,0.001,21.8,80.0,0.002,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:39.290Z,84,A_linear,healthy,pause,0.892,0.000,21.8,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:40.290Z,85,A_linear,healthy,pause,0.925,0.000,21.8,80.0,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:41.291Z,86,A_linear,healthy,pause,0.924,0.002,21.8,80.0,0.003,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:42.301Z,87,A_linear,healthy,pause,0.944,0.003,21.8,80.0,0.005,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:36:43.306Z,88,A_linear,healthy,ascent,0.937,0.557,21.8,79.8,1.004,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:44.306Z,89,A_linear,healthy,ascent,0.950,0.563,21.9,79.9,1.015,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:45.307Z,90,A_linear,healthy,ascent,0.969,0.543,21.8,79.9,0.979,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:46.312Z,91,A_linear,healthy,ascent,0.970,0.559,21.9,79.6,1.009,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:47.312Z,92,A_linear,healthy,ascent,0.962,0.549,22.0,79.7,0.991,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:48.313Z,93,A_linear,healthy,ascent,0.957,0.561,22.0,79.7,1.012,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:49.313Z,94,A_linear,healthy,ascent,0.984,0.561,22.1,79.9,1.013,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:50.314Z,95,A_linear,healthy,ascent,0.965,0.560,22.2,79.9,1.010,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:51.322Z,96,A_linear,healthy,ascent,0.986,0.562,22.3,79.9,1.015,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:52.322Z,97,A_linear,healthy,ascent,0.965,0.556,22.3,80.0,1.003,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:53.325Z,98,A_linear,healthy,ascent,0.952,0.555,22.4,80.0,1.001,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:54.325Z,99,A_linear,healthy,ascent,0.974,0.572,22.4,80.0,1.032,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:36:55.326Z,100,A_linear,healthy,descent,0.968,0.359,22.3,80.0,0.647,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:56.326Z,101,A_linear,healthy,descent,0.955,0.344,22.3,79.8,0.621,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:57.327Z,102,A_linear,healthy,descent,0.956,0.348,22.3,80.0,0.628,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:58.328Z,103,A_linear,healthy,descent,0.951,0.353,22.3,80.0,0.637,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:36:59.329Z,104,A_linear,healthy,descent,0.947,0.343,22.3,79.8,0.619,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:00.329Z,105,A_linear,healthy,descent,0.923,0.370,22.3,80.0,0.668,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:01.330Z,106,A_linear,healthy,descent,0.938,0.359,22.4,79.8,0.647,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:02.330Z,107,A_linear,healthy,descent,0.892,0.347,22.4,79.8,0.625,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:03.331Z,108,A_linear,healthy,descent,0.903,0.345,22.4,80.0,0.622,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:04.331Z,109,A_linear,healthy,descent,0.902,0.354,22.4,79.8,0.638,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:05.331Z,110,A_linear,healthy,descent,0.886,0.352,22.4,79.8,0.634,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:06.332Z,111,A_linear,healthy,descent,0.889,0.362,22.4,80.0,0.653,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:07.332Z,112,A_linear,healthy,pause,0.876,0.007,22.4,79.6,0.012,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:08.333Z,113,A_linear,healthy,pause,0.866,0.000,22.3,79.2,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:09.334Z,114,A_linear,healthy,pause,0.850,0.001,22.3,79.2,0.002,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:10.334Z,115,A_linear,healthy,pause,0.877,0.002,22.3,79.3,0.004,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:11.335Z,116,A_linear,healthy,pause,0.855,0.000,22.3,79.3,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:12.335Z,117,A_linear,healthy,pause,0.841,0.000,22.3,79.6,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:13.336Z,118,A_linear,healthy,pause,0.861,0.001,22.4,79.3,0.002,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:14.337Z,119,A_linear,healthy,pause,0.863,0.000,22.5,79.4,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:15.337Z,120,A_linear,healthy,pause,0.851,0.002,22.4,79.3,0.004,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:16.338Z,121,A_linear,healthy,pause,0.854,0.000,22.4,79.2,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:17.338Z,122,A_linear,healthy,pause,0.879,0.005,22.4,79.2,0.010,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:18.338Z,123,A_linear,healthy,pause,0.864,0.010,22.4,79.1,0.018,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:19.339Z,124,A_linear,healthy,pause,0.866,0.005,22.4,79.2,0.009,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:20.339Z,125,A_linear,healthy,pause,0.886,0.000,22.5,79.3,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:21.339Z,126,A_linear,healthy,pause,0.886,0.000,22.4,79.3,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:22.340Z,127,A_linear,healthy,pause,0.896,0.000,22.4,79.3,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:23.341Z,128,A_linear,healthy,pause,0.927,0.004,22.5,79.3,0.008,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:24.341Z,129,A_linear,healthy,pause,0.940,0.007,22.5,79.5,0.012,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:25.342Z,130,A_linear,healthy,pause,0.934,0.000,22.5,79.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:26.342Z,131,A_linear,healthy,pause,0.938,0.008,22.4,79.9,0.015,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:27.343Z,132,A_linear,healthy,ascent,0.946,0.553,22.4,79.7,0.998,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:28.343Z,133,A_linear,healthy,ascent,0.965,0.564,22.4,79.6,1.018,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:29.344Z,134,A_linear,healthy,ascent,0.947,0.549,22.4,79.6,0.990,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:30.345Z,135,A_linear,healthy,ascent,0.952,0.560,22.4,79.8,1.011,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:31.346Z,136,A_linear,healthy,ascent,1.000,0.551,22.5,79.6,0.995,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:32.347Z,137,A_linear,healthy,ascent,0.969,0.569,22.6,79.4,1.027,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:33.354Z,138,A_linear,healthy,ascent,0.972,0.569,22.7,79.4,1.026,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:34.354Z,139,A_linear,healthy,ascent,0.978,0.561,22.8,79.4,1.011,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:35.355Z,140,A_linear,healthy,ascent,0.990,0.551,22.8,79.6,0.994,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:36.355Z,141,A_linear,healthy,ascent,0.975,0.563,22.8,79.5,1.015,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:37.356Z,142,A_linear,healthy,ascent,0.962,0.551,22.8,79.7,0.994,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:38.356Z,143,A_linear,healthy,ascent,0.994,0.566,22.8,79.7,1.021,60.0,ascent,labview_bridge
ARO-01,2026-05-28T22:37:39.357Z,144,A_linear,healthy,descent,0.939,0.359,22.9,79.6,0.647,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:40.357Z,145,A_linear,healthy,descent,0.963,0.343,22.8,79.5,0.618,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:41.358Z,146,A_linear,healthy,descent,0.957,0.343,22.9,79.5,0.619,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:42.358Z,147,A_linear,healthy,descent,0.937,0.358,22.9,79.7,0.647,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:43.359Z,148,A_linear,healthy,descent,0.938,0.357,23.0,79.5,0.644,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:44.359Z,149,A_linear,healthy,descent,0.923,0.350,23.0,79.1,0.631,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:45.360Z,150,A_linear,healthy,descent,0.912,0.335,23.2,78.9,0.604,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:46.360Z,151,A_linear,healthy,descent,0.912,0.353,23.2,78.8,0.637,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:47.361Z,152,A_linear,healthy,descent,0.923,0.352,23.3,78.9,0.635,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:48.362Z,153,A_linear,healthy,descent,0.897,0.352,23.3,79.0,0.635,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:49.362Z,154,A_linear,healthy,descent,0.874,0.369,23.3,79.4,0.666,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:50.363Z,155,A_linear,healthy,descent,0.889,0.352,23.2,79.5,0.635,60.0,descent,labview_bridge
ARO-01,2026-05-28T22:37:51.363Z,156,A_linear,healthy,pause,0.869,0.005,23.2,79.8,0.009,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:52.364Z,157,A_linear,healthy,pause,0.878,0.007,23.2,79.8,0.012,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:53.365Z,158,A_linear,healthy,pause,0.851,0.008,23.1,80.0,0.015,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:54.365Z,159,A_linear,healthy,pause,0.840,0.002,23.0,80.0,0.003,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:55.366Z,160,A_linear,healthy,pause,0.861,0.000,23.0,79.8,0.000,60.0,pause,labview_bridge
ARO-01,2026-05-28T22:37:56.366Z,161,A_linear,healthy,pause,0.857,0.000,22.9,80.0,0.000,60.0,pause,labview_bridge
