machine_code,sim_elapsed_s,profile,scenario,phase,vibration_mm_s,motor_power,temperature,humidity,current,charge,state,source
ARO-01,0,A_linear,healthy,ascent,0.946,0.563,24.4,61.5,1.016,60.0,ascent,labview_demo_csv
ARO-01,1,A_linear,healthy,ascent,0.934,0.556,24.2,63.0,1.003,60.0,ascent,labview_demo_csv
ARO-01,2,A_linear,healthy,ascent,0.947,0.562,24.0,64.2,1.014,60.0,ascent,labview_demo_csv
ARO-01,3,A_linear,healthy,ascent,0.984,0.552,23.9,65.2,0.995,60.0,ascent,labview_demo_csv
ARO-01,4,A_linear,healthy,ascent,0.955,0.556,23.7,66.2,1.003,60.0,ascent,labview_demo_csv
ARO-01,5,A_linear,healthy,ascent,0.977,0.555,23.4,67.3,1.002,60.0,ascent,labview_demo_csv
ARO-01,6,A_linear,healthy,ascent,0.965,0.557,23.5,68.0,1.004,60.0,ascent,labview_demo_csv
ARO-01,7,A_linear,healthy,ascent,0.966,0.550,23.5,68.8,0.992,60.0,ascent,labview_demo_csv
ARO-01,8,A_linear,healthy,ascent,0.972,0.566,23.4,69.6,1.021,60.0,ascent,labview_demo_csv
ARO-01,9,A_linear,healthy,ascent,0.987,0.567,23.4,70.5,1.022,60.0,ascent,labview_demo_csv
ARO-01,10,A_linear,healthy,ascent,0.971,0.568,23.3,71.2,1.024,60.0,ascent,labview_demo_csv
ARO-01,11,A_linear,healthy,ascent,0.975,0.556,23.3,72.2,1.003,60.0,ascent,labview_demo_csv
ARO-01,12,A_linear,healthy,descent,0.964,0.348,23.1,72.8,0.629,60.0,descent,labview_demo_csv
ARO-01,13,A_linear,healthy,descent,0.979,0.347,23.0,73.4,0.626,60.0,descent,labview_demo_csv
ARO-01,14,A_linear,healthy,descent,0.958,0.351,22.9,73.9,0.632,60.0,descent,labview_demo_csv
ARO-01,15,A_linear,healthy,descent,0.939,0.349,22.9,74.2,0.629,60.0,descent,labview_demo_csv
ARO-01,16,A_linear,healthy,descent,0.945,0.353,22.9,74.6,0.636,60.0,descent,labview_demo_csv
ARO-01,17,A_linear,healthy,descent,0.921,0.350,22.8,75.1,0.631,60.0,descent,labview_demo_csv
ARO-01,18,A_linear,healthy,descent,0.918,0.348,22.7,75.4,0.629,60.0,descent,labview_demo_csv
ARO-01,19,A_linear,healthy,descent,0.926,0.343,22.6,76.0,0.619,60.0,descent,labview_demo_csv
ARO-01,20,A_linear,healthy,descent,0.900,0.354,22.5,75.9,0.638,60.0,descent,labview_demo_csv
ARO-01,21,A_linear,healthy,descent,0.882,0.353,22.5,76.5,0.636,60.0,descent,labview_demo_csv
ARO-01,22,A_linear,healthy,descent,0.898,0.356,22.3,76.7,0.642,60.0,descent,labview_demo_csv
ARO-01,23,A_linear,healthy,descent,0.903,0.352,22.3,76.6,0.635,60.0,descent,labview_demo_csv
ARO-01,24,A_linear,healthy,pause,0.871,0.008,22.2,76.6,0.015,60.0,pause,labview_demo_csv
ARO-01,25,A_linear,healthy,pause,0.852,0.010,22.2,77.2,0.018,60.0,pause,labview_demo_csv
ARO-01,26,A_linear,healthy,pause,0.872,0.003,22.1,77.7,0.006,60.0,pause,labview_demo_csv
ARO-01,27,A_linear,healthy,pause,0.857,0.000,22.1,77.8,0.000,60.0,pause,labview_demo_csv
ARO-01,28,A_linear,healthy,pause,0.856,0.005,21.9,78.0,0.009,60.0,pause,labview_demo_csv
ARO-01,29,A_linear,healthy,pause,0.855,0.000,21.9,78.1,0.000,60.0,pause,labview_demo_csv
