machine_code,sim_elapsed_s,profile,scenario,phase,vibration_mm_s,motor_power,temperature,humidity,current,charge,state,source
ARO-01,0,B_quadratic,surveillance,ascent,1.655,0.850,24.3,61.5,1.534,90.0,ascent,labview_demo_csv
ARO-01,1,B_quadratic,surveillance,ascent,1.697,0.847,24.2,63.1,1.528,90.0,ascent,labview_demo_csv
ARO-01,2,B_quadratic,surveillance,ascent,1.668,0.839,24.1,64.3,1.514,90.0,ascent,labview_demo_csv
ARO-01,3,B_quadratic,surveillance,ascent,1.712,0.851,23.9,65.5,1.536,90.0,ascent,labview_demo_csv
ARO-01,4,B_quadratic,surveillance,ascent,1.668,0.847,23.7,66.8,1.529,90.0,ascent,labview_demo_csv
ARO-01,5,B_quadratic,surveillance,ascent,1.704,0.861,23.6,67.7,1.554,90.0,ascent,labview_demo_csv
ARO-01,6,B_quadratic,surveillance,ascent,1.648,0.849,23.5,68.7,1.532,90.0,ascent,labview_demo_csv
ARO-01,7,B_quadratic,surveillance,ascent,1.692,0.847,23.5,69.7,1.528,90.0,ascent,labview_demo_csv
ARO-01,8,B_quadratic,surveillance,ascent,1.688,0.853,23.4,70.1,1.539,90.0,ascent,labview_demo_csv
ARO-01,9,B_quadratic,surveillance,ascent,1.715,0.860,23.3,70.8,1.552,90.0,ascent,labview_demo_csv
ARO-01,10,B_quadratic,surveillance,ascent,1.715,0.862,23.3,71.6,1.555,90.0,ascent,labview_demo_csv
ARO-01,11,B_quadratic,surveillance,ascent,1.694,0.836,23.2,72.2,1.509,90.0,ascent,labview_demo_csv
ARO-01,12,B_quadratic,surveillance,descent,1.683,0.358,23.2,72.6,0.645,90.0,descent,labview_demo_csv
ARO-01,13,B_quadratic,surveillance,descent,1.715,0.347,23.1,72.9,0.627,90.0,descent,labview_demo_csv
ARO-01,14,B_quadratic,surveillance,descent,1.646,0.345,23.0,73.5,0.623,90.0,descent,labview_demo_csv
ARO-01,15,B_quadratic,surveillance,descent,1.678,0.361,22.9,74.1,0.652,90.0,descent,labview_demo_csv
ARO-01,16,B_quadratic,surveillance,descent,1.665,0.358,22.9,74.4,0.646,90.0,descent,labview_demo_csv
ARO-01,17,B_quadratic,surveillance,descent,1.658,0.358,22.8,74.8,0.647,90.0,descent,labview_demo_csv
ARO-01,18,B_quadratic,surveillance,descent,1.660,0.364,22.6,75.4,0.656,90.0,descent,labview_demo_csv
ARO-01,19,B_quadratic,surveillance,descent,1.617,0.341,22.6,75.8,0.615,90.0,descent,labview_demo_csv
ARO-01,20,B_quadratic,surveillance,descent,1.596,0.345,22.5,76.2,0.622,90.0,descent,labview_demo_csv
ARO-01,21,B_quadratic,surveillance,descent,1.596,0.347,22.4,76.6,0.626,90.0,descent,labview_demo_csv
ARO-01,22,B_quadratic,surveillance,descent,1.585,0.345,22.5,76.6,0.622,90.0,descent,labview_demo_csv
ARO-01,23,B_quadratic,surveillance,descent,1.601,0.361,22.4,76.8,0.650,90.0,descent,labview_demo_csv
ARO-01,24,B_quadratic,surveillance,pause,1.586,0.000,22.4,77.2,0.000,90.0,pause,labview_demo_csv
ARO-01,25,B_quadratic,surveillance,pause,1.594,0.005,22.3,77.6,0.009,90.0,pause,labview_demo_csv
ARO-01,26,B_quadratic,surveillance,pause,1.577,0.000,22.3,77.8,0.000,90.0,pause,labview_demo_csv
ARO-01,27,B_quadratic,surveillance,pause,1.572,0.000,22.1,77.8,0.000,90.0,pause,labview_demo_csv
ARO-01,28,B_quadratic,surveillance,pause,1.606,0.012,22.0,78.4,0.022,90.0,pause,labview_demo_csv
ARO-01,29,B_quadratic,surveillance,pause,1.561,0.000,21.9,78.6,0.000,90.0,pause,labview_demo_csv
ARO-01,30,B_quadratic,surveillance,pause,1.605,0.000,21.9,78.5,0.000,90.0,pause,labview_demo_csv
ARO-01,31,B_quadratic,surveillance,pause,1.628,0.000,22.0,78.7,0.000,90.0,pause,labview_demo_csv
ARO-01,32,B_quadratic,surveillance,pause,1.573,0.001,21.9,78.9,0.002,90.0,pause,labview_demo_csv
ARO-01,33,B_quadratic,surveillance,pause,1.581,0.004,21.8,79.1,0.008,90.0,pause,labview_demo_csv
